Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Regular price,Sale price,Categories,Tags,Images,Parent,Brands,Meta: _cost,Meta: _margin
simple,NGS-SYN-NAS-0001,Synology DS224+,1,0,visible,Synology DS224+ - Smart Home Product,Synology DS224+ available at NGS Smart Home Store. Price: 2050 SAR.,taxable,,1,10,2,1,0,,,,,1,2050,,NAS & Storage,"smart-home, nas-and-storage, synology",https://www.synology.com/img/products/detail/DS224plus/heading.png,,Synology,1750.0,14.6
simple,NGS-SYN-NAS-0002,Synology DS223,1,0,visible,Synology DS223 - Smart Home Product,Synology DS223 available at NGS Smart Home Store. Price: 1580 SAR.,taxable,,1,10,2,1,0,,,,,1,1580,,NAS & Storage,"smart-home, nas-and-storage, synology",https://www.synology.com/img/products/detail/DS223/heading.png,,Synology,1350.0,14.6
simple,NGS-SYN-NAS-0003,Synology DS423+,1,0,visible,Synology DS423+ - Smart Home Product,Synology DS423+ available at NGS Smart Home Store. Price: 3250 SAR.,taxable,,1,10,2,1,0,,,,,1,3250,,NAS & Storage,"smart-home, nas-and-storage, synology",https://www.synology.com/img/products/detail/DS423plus/heading.png,,Synology,2800.0,13.8
simple,NGS-QNA-NAS-0004,QNAP TS-464,1,0,visible,QNAP TS-464 - Smart Home Product,QNAP TS-464 available at NGS Smart Home Store. Price: 2700 SAR.,taxable,,1,10,2,1,0,,,,,1,2700,,NAS & Storage,"smart-home, nas-and-storage, qnap",https://via.placeholder.com/500x500.png?text=QNAP-TS-464,,QNAP,2300.0,14.8
simple,NGS-WES-NAS-0005,Western Digital WD Red Plus 4TB,1,0,visible,Western Digital WD Red Plus 4TB - Smart Home Product,Western Digital WD Red Plus 4TB available at NGS Smart Home Store. Price: 450 SAR.,taxable,,1,10,2,1,0,,,,,1,450,,NAS & Storage,"smart-home, nas-and-storage, western-digital",https://via.placeholder.com/500x500.png?text=Western-Digital-WD-Red-Pl,,Western Digital,380.0,15.6
simple,NGS-SEA-NAS-0006,Seagate IronWolf 4TB,1,0,visible,Seagate IronWolf 4TB - Smart Home Product,Seagate IronWolf 4TB available at NGS Smart Home Store. Price: 440 SAR.,taxable,,1,10,2,1,0,,,,,1,440,,NAS & Storage,"smart-home, nas-and-storage, seagate",https://via.placeholder.com/500x500.png?text=Seagate-IronWolf-4TB,,Seagate,370.0,15.9
simple,NGS-HOM-HA-0007,Home Assistant Green,1,0,visible,Home Assistant Green - Smart Home Product,Home Assistant Green available at NGS Smart Home Store. Price: 420 SAR.,taxable,,1,10,2,1,0,,,,,1,420,,HA Hardware,"smart-home, ha-hardware, home-assistant",https://www.home-assistant.io/images/green/home-assistant-green-hero.png,,Home Assistant,350.0,16.7
simple,NGS-HOM-HA-0008,Home Assistant Yellow,1,0,visible,Home Assistant Yellow - Smart Home Product,Home Assistant Yellow available at NGS Smart Home Store. Price: 1210 SAR.,taxable,,1,10,2,1,0,,,,,1,1210,,HA Hardware,"smart-home, ha-hardware, home-assistant",https://www.home-assistant.io/images/yellow/home-assistant-yellow-hero.png,,Home Assistant,950.0,21.5
simple,NGS-BEE-HA-0009,Beelink EQ12,1,0,visible,Beelink EQ12 - Smart Home Product,Beelink EQ12 available at NGS Smart Home Store. Price: 840 SAR.,taxable,,1,10,2,1,0,,,,,1,840,,HA Hardware,"smart-home, ha-hardware, beelink",https://via.placeholder.com/500x500.png?text=Beelink-EQ12,,Beelink,680.0,19.0
simple,NGS-BEE-HA-0010,Beelink SER5 Pro,1,0,visible,Beelink SER5 Pro - Smart Home Product,Beelink SER5 Pro available at NGS Smart Home Store. Price: 1300 SAR.,taxable,,1,10,2,1,0,,,,,1,1300,,HA Hardware,"smart-home, ha-hardware, beelink",https://via.placeholder.com/500x500.png?text=Beelink-SER5-Pro,,Beelink,1050.0,19.2
