Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Regular price,Sale price,Categories,Tags,Images,Parent,Brands,Meta: _cost,Meta: _margin
simple,NGS-AQA-REM-0758,Aqara Hub M2 + Sensors,1,1,visible,Aqara Hub M2 + Sensors - Smart Home Product,Aqara Hub M2 + Sensors available at NGS Smart Home Store. Price: 799 SAR.,taxable,,1,10,2,1,0,,,,,1,799,,Remote Monitoring,"smart-home, remote-monitoring, aqara",https://via.placeholder.com/500x500.png?text=Aqara-Hub-M2---Sensors,,Aqara,543.0,32.0
simple,NGS-AQA-SEC-0261,Aqara Camera Hub G3,1,1,visible,Aqara Camera Hub G3 - Smart Home Product,Aqara Camera Hub G3 available at NGS Smart Home Store. Price: 549 SAR.,taxable,,1,10,2,1,0,,,,,1,549,,Security,"smart-home, security, aqara",https://via.placeholder.com/500x500.png?text=Aqara-Camera-Hub-G3,,Aqara,384.0,30.1
simple,NGS-AQA-SEC-0268,Aqara U100,1,1,visible,Aqara U100 - Smart Home Product,Aqara U100 available at NGS Smart Home Store. Price: 999 SAR.,taxable,,1,10,2,1,0,,,,,1,999,,Security,"smart-home, security, aqara",https://via.placeholder.com/500x500.png?text=Aqara-U100,,Aqara,699.0,30.0
simple,NGS-EUF-DOO-0473,Eufy Video Doorbell Dual,1,1,visible,Eufy Video Doorbell Dual - Smart Home Product,Eufy Video Doorbell Dual available at NGS Smart Home Store. Price: 799 SAR.,taxable,,1,10,2,1,0,,,,,1,799,,Doorbell,"smart-home, doorbell, eufy",https://via.placeholder.com/500x500.png?text=Eufy-Video-Doorbell-Dual,,Eufy,559.0,30.0
simple,NGS-EUF-REM-0760,Eufy HomeBase 3 Kit,1,1,visible,Eufy HomeBase 3 Kit - Smart Home Product,Eufy HomeBase 3 Kit available at NGS Smart Home Store. Price: 599 SAR.,taxable,,1,10,2,1,0,,,,,1,599,,Remote Monitoring,"smart-home, remote-monitoring, eufy",https://via.placeholder.com/500x500.png?text=Eufy-HomeBase-3-Kit,,Eufy,407.0,32.1
simple,NGS-TP-SEC-0264,TP-Link Tapo C200,1,1,visible,TP-Link Tapo C200 - Smart Home Product,TP-Link Tapo C200 available at NGS Smart Home Store. Price: 129 SAR.,taxable,,1,10,2,1,0,,,,,1,129,,Security,"smart-home, security, tp-link",https://via.placeholder.com/500x500.png?text=TP-Link-Tapo-C200,,TP-Link,90.0,30.2
simple,NGS-EUF-SEC-0262,Eufy Indoor Cam 2K,1,1,visible,Eufy Indoor Cam 2K - Smart Home Product,Eufy Indoor Cam 2K available at NGS Smart Home Store. Price: 199 SAR.,taxable,,1,10,2,1,0,,,,,1,199,,Security,"smart-home, security, eufy",https://via.placeholder.com/500x500.png?text=Eufy-Indoor-Cam-2K,,Eufy,139.0,30.2
simple,NGS-EUF-SEC-0266,Eufy SoloCam S340,1,1,visible,Eufy SoloCam S340 - Smart Home Product,Eufy SoloCam S340 available at NGS Smart Home Store. Price: 749 SAR.,taxable,,1,10,2,1,0,,,,,1,749,,Security,"smart-home, security, eufy",https://via.placeholder.com/500x500.png?text=Eufy-SoloCam-S340,,Eufy,524.0,30.0
simple,NGS-AQA-CLI-0256,Aqara AC Companion P3,1,1,visible,Aqara AC Companion P3 - Smart Home Product,Aqara AC Companion P3 available at NGS Smart Home Store. Price: 259 SAR.,taxable,,1,10,2,1,0,,,,,1,259,,Climate,"smart-home, climate, aqara",https://via.placeholder.com/500x500.png?text=Aqara-AC-Companion-P3,,Aqara,181.0,30.1
simple,NGS-SON-ENE-0766,Sonoff SPM-Main,1,1,visible,Sonoff SPM-Main - Smart Home Product,Sonoff SPM-Main available at NGS Smart Home Store. Price: 199 SAR.,taxable,,1,10,2,1,0,,,,,1,199,,Energy Monitor,"smart-home, energy-monitor, sonoff, ngs-exclusive",https://via.placeholder.com/500x500.png?text=Sonoff-SPM-Main,,Sonoff,115.0,42.2
simple,NGS-AQA-CLI-0260,Aqara Radiator E1,1,1,visible,Aqara Radiator E1 - Smart Home Product,Aqara Radiator E1 available at NGS Smart Home Store. Price: 249 SAR.,taxable,,1,10,2,1,0,,,,,1,249,,Climate,"smart-home, climate, aqara",https://via.placeholder.com/500x500.png?text=Aqara-Radiator-E1,,Aqara,174.0,30.1
simple,NGS-SWI-SEC-0269,SwitchBot Lock Pro,1,1,visible,SwitchBot Lock Pro - Smart Home Product,SwitchBot Lock Pro available at NGS Smart Home Store. Price: 549 SAR.,taxable,,1,10,2,1,0,,,,,1,549,,Security,"smart-home, security, switchbot",https://via.placeholder.com/500x500.png?text=SwitchBot-Lock-Pro,,SwitchBot,384.0,30.1
simple,NGS-TUY-ENE-0765,Tuya 3-Phase Energy Meter,1,1,visible,Tuya 3-Phase Energy Meter - Smart Home Product,Tuya 3-Phase Energy Meter available at NGS Smart Home Store. Price: 299 SAR.,taxable,,1,10,2,1,0,,,,,1,299,,Energy Monitor,"smart-home, energy-monitor, tuya, ngs-exclusive",https://via.placeholder.com/500x500.png?text=Tuya-3-Phase-Energy-Meter,,Tuya,173.0,42.1
simple,NGS-AQA-CAM-0039,Aqara Video Doorbell G4,1,0,visible,Aqara Video Doorbell G4 - Smart Home Product,Aqara Video Doorbell G4 available at NGS Smart Home Store. Price: 450 SAR.,taxable,,1,10,2,1,0,,,,,1,450,,Cameras & Security,"smart-home, cameras-and-security, aqara",https://via.placeholder.com/500x500.png?text=Aqara-Video-Doorbell-G4,,Aqara,350.0,22.2
simple,NGS-AQA-LOC-0068,Aqara Smart Lock U100,1,0,visible,Aqara Smart Lock U100 - Smart Home Product,Aqara Smart Lock U100 available at NGS Smart Home Store. Price: 700 SAR.,taxable,,1,10,2,1,0,,,,,1,700,,Locks & Access,"smart-home, locks-and-access, aqara",https://via.placeholder.com/500x500.png?text=Aqara-Smart-Lock-U100,,Aqara,550.0,21.4
simple,NGS-RIN-CAM-0038,Ring Video Doorbell 4,1,0,visible,Ring Video Doorbell 4 - Smart Home Product,Ring Video Doorbell 4 available at NGS Smart Home Store. Price: 560 SAR.,taxable,,1,10,2,1,0,,,,,1,560,,Cameras & Security,"smart-home, cameras-and-security, ring",https://via.placeholder.com/500x500.png?text=Ring-Video-Doorbell-4,,Ring,450.0,19.6
simple,NGS-YAL-LOC-0069,Yale Assure Lock 2,1,0,visible,Yale Assure Lock 2 - Smart Home Product,Yale Assure Lock 2 available at NGS Smart Home Store. Price: 840 SAR.,taxable,,1,10,2,1,0,,,,,1,840,,Locks & Access,"smart-home, locks-and-access, yale",https://via.placeholder.com/500x500.png?text=Yale-Assure-Lock-2,,Yale,680.0,19.0
simple,NGS-POE-ACC-0483,PoE PoE Extender,1,1,visible,PoE PoE Extender - Smart Home Product,PoE PoE Extender available at NGS Smart Home Store. Price: 99 SAR.,taxable,,1,10,2,1,0,,,,,1,99,,Accessories,"smart-home, accessories, poe",https://via.placeholder.com/500x500.png?text=PoE-PoE-Extender,,PoE,69.0,30.3
simple,NGS-REO-ACC-0482,Reolink Solar Panel,1,1,visible,Reolink Solar Panel - Smart Home Product,Reolink Solar Panel available at NGS Smart Home Store. Price: 199 SAR.,taxable,,1,10,2,1,0,,,,,1,199,,Accessories,"smart-home, accessories, reolink",https://via.placeholder.com/500x500.png?text=Reolink-Solar-Panel,,Reolink,139.0,30.2
simple,NGS-WYZ-PET-0604,Wyze Cam Pan v3 Pet,1,1,visible,Wyze Cam Pan v3 Pet - Smart Home Product,Wyze Cam Pan v3 Pet available at NGS Smart Home Store. Price: 249 SAR.,taxable,,1,10,2,1,0,,,,,1,249,,Pet Camera,"smart-home, pet-camera, wyze",https://via.placeholder.com/500x500.png?text=Wyze-Cam-Pan-v3-Pet,,Wyze,174.0,30.1
simple,NGS-TAP-DOO-0475,Tapo D230,1,1,visible,Tapo D230 - Smart Home Product,Tapo D230 available at NGS Smart Home Store. Price: 349 SAR.,taxable,,1,10,2,1,0,,,,,1,349,,Doorbell,"smart-home, doorbell, tapo",https://via.placeholder.com/500x500.png?text=Tapo-D230,,Tapo,244.0,30.1
simple,NGS-REO-DOO-0472,Reolink Video Doorbell WiFi,1,1,visible,Reolink Video Doorbell WiFi - Smart Home Product,Reolink Video Doorbell WiFi available at NGS Smart Home Store. Price: 449 SAR.,taxable,,1,10,2,1,0,,,,,1,449,,Doorbell,"smart-home, doorbell, reolink",https://via.placeholder.com/500x500.png?text=Reolink-Video-Doorbell-Wi,,Reolink,314.0,30.1
simple,NGS-REO-SEC-0267,Reolink WiFi Doorbell,1,1,visible,Reolink WiFi Doorbell - Smart Home Product,Reolink WiFi Doorbell available at NGS Smart Home Store. Price: 449 SAR.,taxable,,1,10,2,1,0,,,,,1,449,,Security,"smart-home, security, reolink",https://via.placeholder.com/500x500.png?text=Reolink-WiFi-Doorbell,,Reolink,314.0,30.1
simple,NGS-PET-PET-0603,Petcube Bites 2 Lite,1,1,visible,Petcube Bites 2 Lite - Smart Home Product,Petcube Bites 2 Lite available at NGS Smart Home Store. Price: 599 SAR.,taxable,,1,10,2,1,0,,,,,1,599,,Pet Camera,"smart-home, pet-camera, petcube",https://via.placeholder.com/500x500.png?text=Petcube-Bites-2-Lite,,Petcube,419.0,30.1
simple,NGS-FUR-PET-0602,Furbo Dog Camera 360,1,1,visible,Furbo Dog Camera 360 - Smart Home Product,Furbo Dog Camera 360 available at NGS Smart Home Store. Price: 899 SAR.,taxable,,1,10,2,1,0,,,,,1,899,,Pet Camera,"smart-home, pet-camera, furbo",https://via.placeholder.com/500x500.png?text=Furbo-Dog-Camera-360,,Furbo,629.0,30.0
simple,NGS-WYZ-REM-0759,Wyze Home Monitoring Kit,1,1,visible,Wyze Home Monitoring Kit - Smart Home Product,Wyze Home Monitoring Kit available at NGS Smart Home Store. Price: 399 SAR.,taxable,,1,10,2,1,0,,,,,1,399,,Remote Monitoring,"smart-home, remote-monitoring, wyze",https://via.placeholder.com/500x500.png?text=Wyze-Home-Monitoring-Kit,,Wyze,271.0,32.1
simple,NGS-TAP-IND-0454,Tapo C210,1,1,visible,Tapo C210 - Smart Home Product,Tapo C210 available at NGS Smart Home Store. Price: 149 SAR.,taxable,,1,10,2,1,0,,,,,1,149,,Indoor Cam,"smart-home, indoor-cam, tapo",https://via.placeholder.com/500x500.png?text=Tapo-C210,,Tapo,104.0,30.2
simple,NGS-WYZ-IND-0455,Wyze Cam v3,1,1,visible,Wyze Cam v3 - Smart Home Product,Wyze Cam v3 available at NGS Smart Home Store. Price: 149 SAR.,taxable,,1,10,2,1,0,,,,,1,149,,Indoor Cam,"smart-home, indoor-cam, wyze",https://via.placeholder.com/500x500.png?text=Wyze-Cam-v3,,Wyze,104.0,30.2
simple,NGS-REO-SEC-0263,Reolink E1 Pro,1,1,visible,Reolink E1 Pro - Smart Home Product,Reolink E1 Pro available at NGS Smart Home Store. Price: 199 SAR.,taxable,,1,10,2,1,0,,,,,1,199,,Security,"smart-home, security, reolink",https://via.placeholder.com/500x500.png?text=Reolink-E1-Pro,,Reolink,139.0,30.2
simple,NGS-TAP-OUT-0460,Tapo C320WS,1,1,visible,Tapo C320WS - Smart Home Product,Tapo C320WS available at NGS Smart Home Store. Price: 249 SAR.,taxable,,1,10,2,1,0,,,,,1,249,,Outdoor Cam,"smart-home, outdoor-cam, tapo",https://via.placeholder.com/500x500.png?text=Tapo-C320WS,,Tapo,174.0,30.1
simple,NGS-AMC-IND-0457,Amcrest IP4M-1041W,1,1,visible,Amcrest IP4M-1041W - Smart Home Product,Amcrest IP4M-1041W available at NGS Smart Home Store. Price: 299 SAR.,taxable,,1,10,2,1,0,,,,,1,299,,Indoor Cam,"smart-home, indoor-cam, amcrest",https://via.placeholder.com/500x500.png?text=Amcrest-IP4M-1041W,,Amcrest,209.0,30.1
simple,NGS-ANN-OUT-0466,Annke C800,1,1,visible,Annke C800 - Smart Home Product,Annke C800 available at NGS Smart Home Store. Price: 399 SAR.,taxable,,1,10,2,1,0,,,,,1,399,,Outdoor Cam,"smart-home, outdoor-cam, annke",https://via.placeholder.com/500x500.png?text=Annke-C800,,Annke,279.0,30.1
simple,NGS-HIK-IND-0458,Hikvision DS-2CD2443G2-I,1,1,visible,Hikvision DS-2CD2443G2-I - Smart Home Product,Hikvision DS-2CD2443G2-I available at NGS Smart Home Store. Price: 399 SAR.,taxable,,1,10,2,1,0,,,,,1,399,,Indoor Cam,"smart-home, indoor-cam, hikvision",https://via.placeholder.com/500x500.png?text=Hikvision-DS-2CD2443G2-I,,Hikvision,279.0,30.1
simple,NGS-REO-SEC-0265,Reolink Argus 3 Pro,1,1,visible,Reolink Argus 3 Pro - Smart Home Product,Reolink Argus 3 Pro available at NGS Smart Home Store. Price: 449 SAR.,taxable,,1,10,2,1,0,,,,,1,449,,Security,"smart-home, security, reolink",https://via.placeholder.com/500x500.png?text=Reolink-Argus-3-Pro,,Reolink,314.0,30.1
simple,NGS-TAP-PTZ-0468,Tapo C225,1,1,visible,Tapo C225 - Smart Home Product,Tapo C225 available at NGS Smart Home Store. Price: 449 SAR.,taxable,,1,10,2,1,0,,,,,1,449,,PTZ Cam,"smart-home, ptz-cam, tapo",https://via.placeholder.com/500x500.png?text=Tapo-C225,,Tapo,314.0,30.1
simple,NGS-UNI-IND-0456,UniFi G4 Instant,1,1,visible,UniFi G4 Instant - Smart Home Product,UniFi G4 Instant available at NGS Smart Home Store. Price: 449 SAR.,taxable,,1,10,2,1,0,,,,,1,449,,Indoor Cam,"smart-home, indoor-cam, unifi",https://via.placeholder.com/500x500.png?text=UniFi-G4-Instant,,UniFi,314.0,30.1
simple,NGS-DAH-OUT-0465,Dahua IPC-HFW2831E-S-S2,1,1,visible,Dahua IPC-HFW2831E-S-S2 - Smart Home Product,Dahua IPC-HFW2831E-S-S2 available at NGS Smart Home Store. Price: 549 SAR.,taxable,,1,10,2,1,0,,,,,1,549,,Outdoor Cam,"smart-home, outdoor-cam, dahua",https://via.placeholder.com/500x500.png?text=Dahua-IPC-HFW2831E-S-S2,,Dahua,384.0,30.1
simple,NGS-AMC-OUT-0463,Amcrest IP8M-2696EW,1,1,visible,Amcrest IP8M-2696EW - Smart Home Product,Amcrest IP8M-2696EW available at NGS Smart Home Store. Price: 599 SAR.,taxable,,1,10,2,1,0,,,,,1,599,,Outdoor Cam,"smart-home, outdoor-cam, amcrest",https://via.placeholder.com/500x500.png?text=Amcrest-IP8M-2696EW,,Amcrest,419.0,30.1
simple,NGS-XIA-WAT-0686,Xiaomi Water Purifier,1,1,visible,Xiaomi Water Purifier - Smart Home Product,Xiaomi Water Purifier available at NGS Smart Home Store. Price: 599 SAR.,taxable,,1,10,2,1,0,,,,,1,599,,Water Quality,"smart-home, water-quality, xiaomi",https://via.placeholder.com/500x500.png?text=Xiaomi-Water-Purifier,,Xiaomi,419.0,30.1
simple,NGS-HIK-OUT-0464,Hikvision DS-2CD2087G2-L,1,1,visible,Hikvision DS-2CD2087G2-L - Smart Home Product,Hikvision DS-2CD2087G2-L available at NGS Smart Home Store. Price: 699 SAR.,taxable,,1,10,2,1,0,,,,,1,699,,Outdoor Cam,"smart-home, outdoor-cam, hikvision",https://via.placeholder.com/500x500.png?text=Hikvision-DS-2CD2087G2-L,,Hikvision,489.0,30.0
simple,NGS-UNI-OUT-0461,UniFi G4 Bullet,1,1,visible,UniFi G4 Bullet - Smart Home Product,UniFi G4 Bullet available at NGS Smart Home Store. Price: 749 SAR.,taxable,,1,10,2,1,0,,,,,1,749,,Outdoor Cam,"smart-home, outdoor-cam, unifi",https://via.placeholder.com/500x500.png?text=UniFi-G4-Bullet,,UniFi,524.0,30.0
simple,NGS-REO-OUT-0459,Reolink RLC-1212A,1,1,visible,Reolink RLC-1212A - Smart Home Product,Reolink RLC-1212A available at NGS Smart Home Store. Price: 799 SAR.,taxable,,1,10,2,1,0,,,,,1,799,,Outdoor Cam,"smart-home, outdoor-cam, reolink",https://via.placeholder.com/500x500.png?text=Reolink-RLC-1212A,,Reolink,559.0,30.0
simple,NGS-DAH-NVR-0478,Dahua NVR4108HS-8P-4KS2,1,1,visible,Dahua NVR4108HS-8P-4KS2 - Smart Home Product,Dahua NVR4108HS-8P-4KS2 available at NGS Smart Home Store. Price: 899 SAR.,taxable,,1,10,2,1,0,,,,,1,899,,NVR/DVR,"smart-home, nvr/dvr, dahua",https://via.placeholder.com/500x500.png?text=Dahua-NVR4108HS-8P-4KS2,,Dahua,629.0,30.0
simple,NGS-REO-PTZ-0467,Reolink RLC-823A,1,1,visible,Reolink RLC-823A - Smart Home Product,Reolink RLC-823A available at NGS Smart Home Store. Price: 899 SAR.,taxable,,1,10,2,1,0,,,,,1,899,,PTZ Cam,"smart-home, ptz-cam, reolink",https://via.placeholder.com/500x500.png?text=Reolink-RLC-823A,,Reolink,629.0,30.0
simple,NGS-ISP-WAT-0685,iSpring RCC7AK-UV,1,1,visible,iSpring RCC7AK-UV - Smart Home Product,iSpring RCC7AK-UV available at NGS Smart Home Store. Price: 899 SAR.,taxable,,1,10,2,1,0,,,,,1,899,,Water Quality,"smart-home, water-quality, ispring",https://via.placeholder.com/500x500.png?text=iSpring-RCC7AK-UV,,iSpring,629.0,30.0
simple,NGS-UNI-DOO-0474,UniFi G4 Doorbell Pro,1,1,visible,UniFi G4 Doorbell Pro - Smart Home Product,UniFi G4 Doorbell Pro available at NGS Smart Home Store. Price: 1299 SAR.,taxable,,1,10,2,1,0,,,,,1,1299,,Doorbell,"smart-home, doorbell, unifi",https://via.placeholder.com/500x500.png?text=UniFi-G4-Doorbell-Pro,,UniFi,909.0,30.0
simple,NGS-GEN-ACC-0480,Generic PoE Switch 8-Port,1,1,visible,Generic PoE Switch 8-Port - Smart Home Product,Generic PoE Switch 8-Port available at NGS Smart Home Store. Price: 399 SAR.,taxable,,1,10,2,1,0,,,,,1,399,,Accessories,"smart-home, accessories, generic",https://via.placeholder.com/500x500.png?text=Generic-PoE-Switch-8-Port,,Generic,279.0,30.1
simple,NGS-DAH-PTZ-0471,Dahua SD49425GB-HNR,1,1,visible,Dahua SD49425GB-HNR - Smart Home Product,Dahua SD49425GB-HNR available at NGS Smart Home Store. Price: 1299 SAR.,taxable,,1,10,2,1,0,,,,,1,1299,,PTZ Cam,"smart-home, ptz-cam, dahua",https://via.placeholder.com/500x500.png?text=Dahua-SD49425GB-HNR,,Dahua,909.0,30.0
simple,NGS-HIK-NVR-0477,Hikvision DS-7608NXI-K2,1,1,visible,Hikvision DS-7608NXI-K2 - Smart Home Product,Hikvision DS-7608NXI-K2 available at NGS Smart Home Store. Price: 1299 SAR.,taxable,,1,10,2,1,0,,,,,1,1299,,NVR/DVR,"smart-home, nvr/dvr, hikvision",https://via.placeholder.com/500x500.png?text=Hikvision-DS-7608NXI-K2,,Hikvision,909.0,30.0
simple,NGS-UNI-SEC-0270,UniFi UNVR,1,1,visible,UniFi UNVR - Smart Home Product,UniFi UNVR available at NGS Smart Home Store. Price: 1299 SAR.,taxable,,1,10,2,1,0,,,,,1,1299,,Security,"smart-home, security, unifi",https://via.placeholder.com/500x500.png?text=UniFi-UNVR,,UniFi,909.0,30.0
simple,NGS-HIK-PTZ-0470,Hikvision DS-2DE4425IW-DE,1,1,visible,Hikvision DS-2DE4425IW-DE - Smart Home Product,Hikvision DS-2DE4425IW-DE available at NGS Smart Home Store. Price: 1499 SAR.,taxable,,1,10,2,1,0,,,,,1,1499,,PTZ Cam,"smart-home, ptz-cam, hikvision",https://via.placeholder.com/500x500.png?text=Hikvision-DS-2DE4425IW-DE,,Hikvision,1049.0,30.0
simple,NGS-REO-NVR-0476,Reolink RLN16-410,1,1,visible,Reolink RLN16-410 - Smart Home Product,Reolink RLN16-410 available at NGS Smart Home Store. Price: 1499 SAR.,taxable,,1,10,2,1,0,,,,,1,1499,,NVR/DVR,"smart-home, nvr/dvr, reolink",https://via.placeholder.com/500x500.png?text=Reolink-RLN16-410,,Reolink,1049.0,30.0
simple,NGS-UNI-OUT-0462,UniFi G5 Pro,1,1,visible,UniFi G5 Pro - Smart Home Product,UniFi G5 Pro available at NGS Smart Home Store. Price: 1799 SAR.,taxable,,1,10,2,1,0,,,,,1,1799,,Outdoor Cam,"smart-home, outdoor-cam, unifi",https://via.placeholder.com/500x500.png?text=UniFi-G5-Pro,,UniFi,1259.0,30.0
simple,NGS-UNI-PTZ-0469,UniFi G4 PTZ,1,1,visible,UniFi G4 PTZ - Smart Home Product,UniFi G4 PTZ available at NGS Smart Home Store. Price: 2499 SAR.,taxable,,1,10,2,1,0,,,,,1,2499,,PTZ Cam,"smart-home, ptz-cam, unifi",https://via.placeholder.com/500x500.png?text=UniFi-G4-PTZ,,UniFi,1749.0,30.0
simple,NGS-TP-CAM-0036,TP-Link Tapo C210,1,0,visible,TP-Link Tapo C210 - Smart Home Product,TP-Link Tapo C210 available at NGS Smart Home Store. Price: 140 SAR.,taxable,,1,10,2,1,0,,,,,1,140,,Cameras & Security,"smart-home, cameras-and-security, tp-link",https://via.placeholder.com/500x500.png?text=TP-Link-Tapo-C210,,TP-Link,100.0,28.6
simple,NGS-SON-REL-0532,Sonoff SV (ESP DIY),1,1,visible,Sonoff SV (ESP DIY) - Smart Home Product,Sonoff SV (ESP DIY) available at NGS Smart Home Store. Price: 49 SAR.,taxable,,1,10,2,1,0,,,,,1,49,,Relay Module,"smart-home, relay-module, sonoff, ngs-exclusive",https://via.placeholder.com/500x500.png?text=Sonoff-SV--ESP-DIY-,,Sonoff,22.0,55.1
simple,NGS-SHE-REL-0533,Shelly Plus 1 Mini,1,1,visible,Shelly Plus 1 Mini - Smart Home Product,Shelly Plus 1 Mini available at NGS Smart Home Store. Price: 69 SAR.,taxable,,1,10,2,1,0,,,,,1,69,,Relay Module,"smart-home, relay-module, shelly, ngs-exclusive",https://via.placeholder.com/500x500.png?text=Shelly-Plus-1-Mini,,Shelly,31.0,55.1
