"name","name_ar","sku","price","sale_price","quantity","is_infinite","is_taxable","requires_shipping","is_draft","description","short_description","categories","images","weight","barcode"
"HIDEit Apple TV Mount","HIDEit Apple TV Mount","NGS-HID-MOU-0571","79","","10","FALSE","TRUE","TRUE","FALSE","HIDEit Apple TV Mount available at NGS Smart Home Store. Price: 79 SAR.","HIDEit Apple TV Mount &#8211; Smart Home Product","Mounts &amp; Brackets","https://neogen.store/wp-content/uploads/NGS-HID-MOU-0571.webp","",""
"Apple TV 4K (2021) 64GB","Apple TV 4K (2021) 64GB","NGS-APP-STR-0485","899","","10","FALSE","TRUE","TRUE","FALSE","Apple TV 4K (2021) 64GB available at NGS Smart Home Store. Price: 899 SAR.","Apple TV 4K (2021) 64GB &#8211; Smart Home Product","أجهزة بث","https://neogen.store/wp-content/uploads/NGS-APP-STR-0485.webp","",""
"Apple TV 4K (2022)","Apple TV 4K (2022)","NGS-APP-STR-0484","699","","10","FALSE","TRUE","TRUE","FALSE","Apple TV 4K (2022) available at NGS Smart Home Store. Price: 699 SAR.","Apple TV 4K (2022) &#8211; Smart Home Product","أجهزة بث","https://neogen.store/wp-content/uploads/NGS-APP-STR-0484.webp","",""
"Google Nest Mini (2nd Gen)","Google Nest Mini (2nd Gen)","NGS-GOO-VOI-0362","199","","10","FALSE","TRUE","TRUE","FALSE","Google Nest Mini (2nd Gen) available at NGS Smart Home Store. Price: 199 SAR.","Google Nest Mini (2nd Gen) &#8211; Smart Home Product","مساعدات صوتية","https://neogen.store/wp-content/uploads/NGS-GOO-VOI-0362.webp","",""
"Amazon Echo Show 8 (3rd Gen)","Amazon Echo Show 8 (3rd Gen)","NGS-AMA-VOI-0360","549","","10","FALSE","TRUE","TRUE","FALSE","Amazon Echo Show 8 (3rd Gen) available at NGS Smart Home Store. Price: 549 SAR.","Amazon Echo Show 8 (3rd Gen) &#8211; Smart Home Product","مساعدات صوتية","https://neogen.store/wp-content/uploads/NGS-AMA-VOI-0360.webp","",""
"Apple Apple TV 4K","Apple Apple TV 4K","NGS-APP-THR-0346","899","","10","FALSE","TRUE","TRUE","FALSE","Apple Apple TV 4K available at NGS Smart Home Store. Price: 899 SAR.","Apple Apple TV 4K &#8211; Smart Home Product","راوتر Thread","https://neogen.store/wp-content/uploads/NGS-APP-THR-0346.webp","",""
"Apple TV 4K","Apple TV 4K","NGS-APP-MIS-0306","649","","10","FALSE","TRUE","TRUE","FALSE","Apple TV 4K available at NGS Smart Home Store. Price: 649 SAR.","Apple TV 4K &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-APP-MIS-0306.webp","",""
"Amazon Echo Show 8","Amazon Echo Show 8","NGS-AMA-VOI-0296","549","","10","FALSE","TRUE","TRUE","FALSE","Amazon Echo Show 8 available at NGS Smart Home Store. Price: 549 SAR.","Amazon Echo Show 8 &#8211; Smart Home Product","أجهزة صوتية","https://neogen.store/wp-content/uploads/NGS-AMA-VOI-0296.webp","",""
"Apple HomePod mini","Apple HomePod mini","NGS-APP-VOI-0294","449","","10","FALSE","TRUE","TRUE","FALSE","Apple HomePod mini available at NGS Smart Home Store. Price: 449 SAR.","Apple HomePod mini &#8211; Smart Home Product","أجهزة صوتية","https://neogen.store/wp-content/uploads/NGS-APP-VOI-0294.webp","",""
"Google Nest Mini","Google Nest Mini","NGS-GOO-VOI-0291","199","","10","FALSE","TRUE","TRUE","FALSE","Google Nest Mini available at NGS Smart Home Store. Price: 199 SAR.","Google Nest Mini &#8211; Smart Home Product","أجهزة صوتية","https://neogen.store/wp-content/uploads/NGS-GOO-VOI-0291.webp","",""
