ID,SKU,Name,Categories,Regular price,Sale price,Effective sell price SAR,Real price floor SAR,Real price source,Reference URL,Status,Risk,Adjustment
42,GC-SW-ACC1,Adobe Creative Cloud 1 Year,Gift Cards & Software Keys,2499,1999,1999,,,,NEEDS_REFERENCE,High,Strict output unpublished until real price reference is filled
43,GC-SW-KTS1,Kaspersky Total Security 1 Year,Gift Cards & Software Keys,149,119,119,,,,NEEDS_REFERENCE,High,Strict output unpublished until real price reference is filled
44,GC-APL-100,Apple Gift Card $100,Gift Cards & Software Keys,389,,389,375.02,USD face value from product name ($100),,PASS,Low,
45,GC-GP-50,Google Play $50 Gift Card,Gift Cards & Software Keys,199,,199,187.51,USD face value from product name ($50),,PASS,Low,
46,GC-NFX-100,Netflix Gift Card $100,Gift Cards & Software Keys,389,,389,375.02,USD face value from product name ($100),,PASS,Low,
47,GC-XBX-GPU3,Xbox Game Pass Ultimate 3 Months,Gift Cards & Software Keys,179,149,149,,,,NEEDS_REFERENCE,High,Strict output unpublished until real price reference is filled
48,GC-STM-50,Steam Wallet $50 Gift Card,Gift Cards & Software Keys,199,,199,187.51,USD face value from product name ($50),,PASS,Low,
49,GC-PSN-50,PlayStation Store $50 Gift Card,Gift Cards & Software Keys,199,,199,187.51,USD face value from product name ($50),,PASS,Low,
50,GC-SW-OFF24,Microsoft Office 2024 Pro Plus,Gift Cards & Software Keys,399,349,349,,,,NEEDS_REFERENCE,High,Strict output unpublished until real price reference is filled
51,GC-SW-WIN11,Windows 11 Pro License Key,Gift Cards & Software Keys,249,199,199,,,,NEEDS_REFERENCE,High,Strict output unpublished until real price reference is filled
52,GM-RTR-ASU-001,ASUS ROG Rapture GT-BE19000AI (WiFi 7),Gaming,4799,,4799,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
53,GM-PGA-JSA-001,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),Gaming,529,459,459,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,1349,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,1149,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
56,GM-GPU-GIG-001,Gigabyte AORUS RTX 5090 Master 32GB,Hardware,27999,,27999,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
57,GM-GPU-NVD-002,NVIDIA RTX 5080 Founders Edition (16GB),Hardware,6499,,6499,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
58,GM-GPU-NVD-001,NVIDIA RTX 5090 Founders Edition (32GB),Hardware,26449,22999,22999,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
59,GM-STR-HPX-001,HyperX QuadCast S USB Microphone,Gaming,580,,580,462,Amazon.sa reference from master catalog,https://www.amazon.sa/-/en/HyperX-QuadCast-Microphone-Podcasting-Board/dp/B0F3K25XHL/ref=sr_1_3,PASS,Low,
60,GM-STR-ELG-001,Elgato Stream Deck MK.2,Gaming,1099,949,949,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
61,GM-CAP-AVR-001,AVerMedia Live Gamer Ultra S,Gaming,1049,,1049,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
62,GM-CAP-ELG-001,Elgato HD60 X Capture Card,Gaming,1099,,1099,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
63,GM-CTR-SON-001,Sony DualSense Edge Controller,Gaming,1559,1349,1349,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
64,GM-CTR-MSF-001,Xbox Elite Controller Series 2 Core,Gaming,720,,720,569,Amazon.sa reference from master catalog,https://www.amazon.sa/-/en/Xbox-Elite-Wireless-Controller-Core/dp/B0B9GJLV2D/ref=sr_1_1,PASS,Low,
65,GM-RGB-GOV-001,Govee DreamView G1 Pro Gaming Light,Gaming,790,,790,629,Amazon.sa reference from master catalog,https://www.amazon.sa/-/en/Govee-DreamView-Pro-Gaming-Light/dp/B0CCLP92ZC/ref=sr_1_3,PASS,Low,
66,GM-RGB-COR-001,Corsair iCUE LC100 Lighting Panels,Gaming,549,,549,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
67,GM-CHR-RAZ-001,Razer Iskur V2 NewGen,Gaming,3199,,3199,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
68,GM-CHR-SEC-001,Secretlab Titan Evo,Gaming,4630,,4630,3699,Amazon.sa reference from master catalog,https://www.amazon.sa/-/en/Secretlab-Titan-Stealth-Gaming-Chair/dp/B0B3RDWTDD,PASS,Low,
69,GM-HST-RAZ-001,Razer BlackShark V2 Pro 2023,Gaming,1149,999,999,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
70,GM-HST-STS-001,SteelSeries Arctis Nova 7 Wireless,Gaming,860,,860,684,Amazon.sa reference from master catalog,https://www.amazon.sa/-/en/SteelSeries-Arctis-Wireless-Multi-Platform-Headset/dp/B0CCSHV2W8/ref=sr_1_2,PASS,Low,
71,GM-HST-HPX-001,HyperX Cloud Alpha Wireless (300hr),Gaming,1199,,1199,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
72,GM-MOU-RAZ-002,Razer Viper V3 Pro (54g Wireless),Gaming,1209,1049,1049,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
73,GM-MOU-LOG-001,Logitech G Pro X Superlight 2 DEX,Gaming,1099,,1099,,,,NO_REAL_PRICE_REFERENCE,Medium,Strict output unpublished until real price reference is filled
