id,name,sku,status,price,regular_price,sale_price,stock_status,stock_quantity,short_description,permalink
3236,ASUS ROG Rapture GT-BE19000AI (WiFi 7),GM-RTR-ASU-001,publish,4799,4799,,instock,,"<p>ASUS ROG Rapture GT-BE19000AI (WiFi 7) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/asus-rog-rapture-gt-be19000ai-wifi-7/
3235,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),GM-PGA-JSA-001,publish,459,529,459,instock,,"<p>JSAUX 6-in-1 Dock (Steam Deck/ROG Ally) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/jsaux-6-in-1-dock-steam-deck-rog-ally/
3229,HyperX QuadCast S USB Microphone,GM-STR-HPX-001,publish,949,1099,949,instock,,"<p>HyperX QuadCast S USB Microphone &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/hyperx-quadcast-s-usb-microphone/
3228,Elgato Stream Deck MK.2,GM-STR-ELG-001,publish,949,1099,949,instock,,"<p>Elgato Stream Deck MK.2 &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/elgato-stream-deck-mk-2/
3227,AVerMedia Live Gamer Ultra S,GM-CAP-AVR-001,publish,1049,1049,,instock,,"<p>AVerMedia Live Gamer Ultra S &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/avermedia-live-gamer-ultra-s/
3226,Elgato HD60 X Capture Card,GM-CAP-ELG-001,publish,1099,1099,,instock,,"<p>Elgato HD60 X Capture Card &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/elgato-hd60-x-capture-card/
3225,Sony DualSense Edge Controller,GM-CTR-SON-001,publish,1349,1559,1349,instock,,"<p>Sony DualSense Edge Controller &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/sony-dualsense-edge-controller/
3224,Xbox Elite Controller Series 2 Core,GM-CTR-MSF-001,publish,1149,1149,,instock,,"<p>Xbox Elite Controller Series 2 Core &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/xbox-elite-controller-series-2-core/
3223,Govee DreamView G1 Pro Gaming Light,GM-RGB-GOV-001,publish,749,749,,instock,,"<p>Govee DreamView G1 Pro Gaming Light &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/govee-dreamview-g1-pro-gaming-light/
3222,Corsair iCUE LC100 Lighting Panels,GM-RGB-COR-001,publish,549,549,,instock,,"<p>Corsair iCUE LC100 Lighting Panels &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/corsair-icue-lc100-lighting-panels/
3221,Razer Iskur V2 NewGen,GM-CHR-RAZ-001,publish,3199,3199,,instock,,"<p>Razer Iskur V2 NewGen &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/razer-iskur-v2-newgen/
3220,Secretlab Titan Evo,GM-CHR-SEC-001,publish,3499,3499,,instock,,"<p>Secretlab Titan Evo &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/secretlab-titan-evo/
3219,Razer BlackShark V2 Pro 2023,GM-HST-RAZ-001,publish,999,1149,999,instock,,"<p>Razer BlackShark V2 Pro 2023 &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/razer-blackshark-v2-pro-2023/
3218,SteelSeries Arctis Nova 7 Wireless,GM-HST-STS-001,publish,1149,1149,,instock,,"<p>SteelSeries Arctis Nova 7 Wireless &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/steelseries-arctis-nova-7-wireless/
3217,HyperX Cloud Alpha Wireless (300hr),GM-HST-HPX-001,publish,1199,1199,,instock,,"<p>HyperX Cloud Alpha Wireless (300hr) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/hyperx-cloud-alpha-wireless-300hr/
3216,Razer Viper V3 Pro (54g Wireless),GM-MOU-RAZ-002,publish,1049,1209,1049,instock,,"<p>Razer Viper V3 Pro (54g Wireless) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/razer-viper-v3-pro-54g-wireless/
3215,Logitech G Pro X Superlight 2 DEX,GM-MOU-LOG-001,publish,1099,1099,,instock,,"<p>Logitech G Pro X Superlight 2 DEX &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/logitech-g-pro-x-superlight-2-dex/
3214,Razer DeathAdder V4 Pro (57g Wireless),GM-MOU-RAZ-001,publish,1149,1329,1149,instock,,"<p>Razer DeathAdder V4 Pro (57g Wireless) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/razer-deathadder-v4-pro-57g-wireless/
3213,Keychron K10 HE (Arabic Layout),GM-KBD-KEY-001,publish,999,1149,999,instock,,"<p>Keychron K10 HE (Arabic Layout) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/keychron-k10-he-arabic-layout/
3212,Logitech G Pro X TKL LIGHTSPEED,GM-KBD-LOG-001,publish,1199,1379,1199,instock,,"<p>Logitech G Pro X TKL LIGHTSPEED &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/logitech-g-pro-x-tkl-lightspeed/
3211,Corsair K70 MAX RGB,GM-KBD-COR-001,publish,1299,1299,,instock,,"<p>Corsair K70 MAX RGB &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/corsair-k70-max-rgb/
3210,Razer Huntsman V3 Pro TKL,GM-KBD-RAZ-001,publish,1349,1559,1349,instock,,"<p>Razer Huntsman V3 Pro TKL &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/razer-huntsman-v3-pro-tkl/
3209,"Dell Alienware AW2725DF (27"" QD-OLED 360Hz)",GM-MON-DEL-001,publish,5599,5599,,instock,,"<p>Dell Alienware AW2725DF (27&#8243; QD-OLED 360Hz) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/dell-alienware-aw2725df-27-qd-oled-360hz/
3208,"LG UltraGear OLED 27GR95QE-B (27"" QHD 240Hz)",GM-MON-LGE-001,publish,4899,5639,4899,instock,,"<p>LG UltraGear OLED 27GR95QE-B (27&#8243; QHD 240Hz) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/lg-ultragear-oled-27gr95qe-b-27-qhd-240hz/
3207,"Samsung Odyssey G7 G70D (32"" 4K 144Hz)",GM-MON-SAM-002,publish,3499,3499,,instock,,"<p>Samsung Odyssey G7 G70D (32&#8243; 4K 144Hz) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/samsung-odyssey-g7-g70d-32-4k-144hz/
3206,"Samsung Odyssey OLED G8 (34"" UWQHD 175Hz)",GM-MON-SAM-001,publish,7799,7799,,instock,,"<p>Samsung Odyssey OLED G8 (34&#8243; UWQHD 175Hz) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/samsung-odyssey-oled-g8-34-uwqhd-175hz/
3205,"ASUS ROG Swift OLED PG27AQDM (27"" QHD 240Hz)",GM-MON-ASU-001,publish,5399,6209,5399,instock,,"<p>ASUS ROG Swift OLED PG27AQDM (27&#8243; QHD 240Hz) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/asus-rog-swift-oled-pg27aqdm-27-qhd-240hz/
3095,Elgato Wave:3 - Premium USB Condenser Microphone for Streaming,NG-GAM-012,publish,1149,1329,1149,instock,,"<p>USB condenser microphone with studio-quality 96kHz/24-bit audio. Proprietary condenser capsule with Clipguard anti-distortion technology. Digital mixing via Wave Link software. Ideal for streaming, podcasting, and YouTube.</p>
",https://neogen.store/product/elgato-wave3-premium-usb-condenser-microphone-for-streaming/
3094,SteelSeries QcK Heavy XXL - Extra-Large Gaming Mouse Pad,NG-GAM-011,publish,289,289,,instock,,"<p>Extra-large cloth mouse pad measuring 900x400mm with 6mm thickness. QcK micro-woven surface for superior tracking accuracy with non-slip rubber base. Covers the entire desk for keyboard and mouse.</p>
",https://neogen.store/product/steelseries-qck-heavy-xxl-extra-large-gaming-mouse-pad/
3093,BenQ Zowie XL2546K - 240Hz Esports Gaming Monitor,NG-GAM-010,publish,2999,3449,2999,instock,,"<p>Professional 24.5-inch gaming monitor with 240Hz refresh rate and 0.5ms response time. Exclusive DyAc+ technology for motion clarity with XL Setting to Share. The official monitor of global esports tournaments.</p>
",https://neogen.store/product/benq-zowie-xl2546k-240hz-esports-gaming-monitor/
3092,Corsair K70 RGB Pro - Legendary Mechanical Gaming Keyboard,NG-GAM-009,publish,999,999,,instock,,"<p>Full-size mechanical keyboard with Cherry MX switches and per-key RGB lighting. Aluminum frame with magnetic wrist rest and 8000Hz polling rate. The gold standard in gaming keyboards.</p>
",https://neogen.store/product/corsair-k70-rgb-pro-legendary-mechanical-gaming-keyboard/
3091,Razer Basilisk V3 X HyperSpeed - Versatile Wireless Gaming Mouse,NG-GAM-008,publish,649,649,,instock,,"<p>Wireless mouse with 18K DPI sensor and dual HyperSpeed 2.4GHz + Bluetooth connectivity. Ergonomic design with Tilt-Click scroll wheel. AA battery lasting up to 285 hours. A smart choice for work and gaming.</p>
",https://neogen.store/product/razer-basilisk-v3-x-hyperspeed-versatile-wireless-gaming-mouse/
3090,8BitDo Arcade Stick - Authentic Arcade Experience at Home,NG-GAM-007,publish,799,799,,instock,,"<p>Wireless arcade stick (Bluetooth + 2.4GHz + wired) compatible with PC, Switch, and Steam Deck. Genuine swappable Sanwa joystick and buttons. Perfect for fighting games and classic arcade titles.</p>
",https://neogen.store/product/8bitdo-arcade-stick-authentic-arcade-experience-at-home/
3089,SteelSeries Arctis Nova 7 - Multi-Platform Wireless Gaming Headset,NG-GAM-006,publish,1199,1199,,instock,,"<p>Multi-platform wireless headset with simultaneous 2.4GHz and Bluetooth 5.0 connectivity. Nova Acoustic System drivers with Hi-Res audio. 38-hour battery with fast charging. Compatible with PC, PS5, Switch, and mobile.</p>
",https://neogen.store/product/steelseries-arctis-nova-7-multi-platform-wireless-gaming-headset/
3088,Elgato HD60 X - External Capture Card for Streaming and Recording,NG-GAM-005,publish,1249,1249,,instock,,"<p>External capture card recording at 4K30 or 1080p60 HDR10 with 4K60 HDR Passthrough. Compatible with PS5, Xbox, PC, and Switch via USB 3.0. The essential tool for content creators.</p>
",https://neogen.store/product/elgato-hd60-x-external-capture-card-for-streaming-and-recording/
3087,Razer BlackWidow V4 75% - Compact Mechanical Gaming Keyboard,NG-GAM-004,publish,1199,1199,,instock,,"<p>75% mechanical keyboard with Razer Orange Tactile switches. Per-key RGB lighting with magnetic wrist rest and rotary encoder knob. Compact layout without compromise.</p>
",https://neogen.store/product/razer-blackwidow-v4-75-compact-mechanical-gaming-keyboard/
3086,HyperX Cloud III Wireless - Premium Wireless Gaming Headset,NG-GAM-003,publish,999,1149,999,instock,,"<p>Wireless gaming headset with 2.4GHz connection and DTS Headphone:X Spatial Audio. Angled 53mm drivers with memory foam cushions. Up to 120-hour battery life. Compatible with PC and PS5.</p>
",https://neogen.store/product/hyperx-cloud-iii-wireless-premium-wireless-gaming-headset/
3085,Razer DeathAdder V3 HyperSpeed - Ultra-Light Wireless Gaming Mouse,NG-GAM-002,publish,849,979,849,instock,,"<p>Professional wireless gaming mouse with Focus Pro 26K sensor and sub-1ms response time. Ultra-light 55g weight with up to 235-hour battery life. Iconic ergonomic design refined for esports.</p>
",https://neogen.store/product/razer-deathadder-v3-hyperspeed-ultra-light-wireless-gaming-mouse/
3084,8BitDo Ultimate C Bluetooth Controller - Multi-Platform Gaming,NG-GAM-001,publish,309,359,309,instock,,"<p>Bluetooth wireless controller compatible with Nintendo Switch, Android, Steam, and PC. Ergonomic design with Hall Effect analog sticks. Excellent performance at a budget-friendly price.</p>
",https://neogen.store/product/8bitdo-ultimate-c-bluetooth-controller-multi-platform-gaming/
