id,name,sku,status,price,regular_price,sale_price,stock_status,stock_quantity,short_description,permalink
3171,SwitchBot Blind Tilt,SH-SWB-SWBT-003,publish,479,479,,instock,,"<p>SwitchBot Blind Tilt &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/switchbot-blind-tilt/
3170,SwitchBot Bot (Smart Button Pusher),SH-SWB-SWBT-002,publish,239,239,,instock,,"<p>SwitchBot Bot (Smart Button Pusher) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/switchbot-bot-smart-button-pusher/
3169,SwitchBot Hub 2 (Matter Enabled),SH-SWB-SWBT-001,publish,479,559,479,instock,,"<p>SwitchBot Hub 2 (Matter Enabled) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/switchbot-hub-2-matter-enabled/
3168,Hubitat Elevation C-8 Pro,SH-HUB-HUBI-001,publish,1199,1199,,instock,,"<p>Hubitat Elevation C-8 Pro &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/hubitat-elevation-c-8-pro/
3167,Home Assistant Green,SH-HUB-HASS-001,publish,699,699,,instock,,"<p>Home Assistant Green &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/home-assistant-green/
3166,Aqara Hub M3,SH-HUB-AQRA-001,publish,899,1039,899,instock,,"<p>Aqara Hub M3 &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/aqara-hub-m3/
3165,IKEA FYRTUR Blackout Smart Roller Blind,SH-BLD-IKEA-001,publish,949,1099,949,instock,,"<p>IKEA FYRTUR Blackout Smart Roller Blind &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/ikea-fyrtur-blackout-smart-roller-blind/
3164,SwitchBot Curtain 3,SH-BLD-SWBT-001,publish,649,649,,instock,,"<p>SwitchBot Curtain 3 &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/switchbot-curtain-3/
3163,Eufy Video Doorbell E340 (Dual Camera),SH-VDB-EUFY-001,publish,999,999,,instock,,"<p>Eufy Video Doorbell E340 (Dual Camera) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/eufy-video-doorbell-e340-dual-camera/
3162,Ring Battery Doorbell Plus,SH-VDB-RING-001,publish,999,999,,instock,,"<p>Ring Battery Doorbell Plus &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/ring-battery-doorbell-plus/
3161,Reolink Argus 4 Pro (4K),SH-CAM-RELK-001,publish,899,1039,899,instock,,"<p>Reolink Argus 4 Pro (4K) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/reolink-argus-4-pro-4k/
3160,Eufy eufyCam 3 (4K + HomeBase 3 Kit),SH-CAM-EUFY-001,publish,1649,1649,,instock,,"<p>Eufy eufyCam 3 (4K + HomeBase 3 Kit) &#8211; Available at NeoGen Store</p>
",https://neogen.store/product/eufy-eufycam-3-4k-homebase-3-kit/
