wc_id,sku,name,categories,current_price_sar,aliexpress_search_url,aliexpress_product_url,aliexpress_price_usd,notes
3236,GM-RTR-ASU-001,ASUS ROG Rapture GT-BE19000AI (WiFi 7),Gaming | ألعاب,4799,https://www.aliexpress.com/wholesale?SearchText=ASUS+ROG+Rapture+GTBE19000AI+WiFi+7,,,
3235,GM-PGA-JSA-001,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),Gaming | ألعاب,459,https://www.aliexpress.com/wholesale?SearchText=JSAUX+6in1+Dock+Steam+DeckROG+Ally,,,
3234,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware | أجهزة PC,1349,https://www.aliexpress.com/wholesale?SearchText=NZXT+H9+Elite+MidTower+ATX+Case,,,
3233,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware | أجهزة PC,1149,https://www.aliexpress.com/wholesale?SearchText=Corsair+iCUE+H150i+RGB+Elite+360mm+AIO,,,
3232,GM-GPU-GIG-001,Gigabyte AORUS RTX 5090 Master 32GB,Hardware | أجهزة PC,27999,https://www.aliexpress.com/wholesale?SearchText=Gigabyte+AORUS+RTX+5090+Master+32GB,,,
3231,GM-GPU-NVD-002,NVIDIA RTX 5080 Founders Edition (16GB),Hardware | أجهزة PC,6499,https://www.aliexpress.com/wholesale?SearchText=NVIDIA+RTX+5080+Founders+Edition+16GB,,,
3230,GM-GPU-NVD-001,NVIDIA RTX 5090 Founders Edition (32GB),Hardware | أجهزة PC,22999,https://www.aliexpress.com/wholesale?SearchText=NVIDIA+RTX+5090+Founders+Edition+32GB,,,
3229,GM-STR-HPX-001,HyperX QuadCast S USB Microphone,Gaming | ألعاب,949,https://www.aliexpress.com/wholesale?SearchText=HyperX+QuadCast+S+USB+Microphone,,,
3228,GM-STR-ELG-001,Elgato Stream Deck MK.2,Gaming | ألعاب,949,https://www.aliexpress.com/wholesale?SearchText=Elgato+Stream+Deck+MK2,,,
3227,GM-CAP-AVR-001,AVerMedia Live Gamer Ultra S,Gaming | ألعاب,1049,https://www.aliexpress.com/wholesale?SearchText=AVerMedia+Live+Gamer+Ultra+S,,,
3226,GM-CAP-ELG-001,Elgato HD60 X Capture Card,Gaming | ألعاب,1099,https://www.aliexpress.com/wholesale?SearchText=Elgato+HD60+X+Capture+Card,,,
3225,GM-CTR-SON-001,Sony DualSense Edge Controller,Gaming | ألعاب,1349,https://www.aliexpress.com/wholesale?SearchText=Sony+DualSense+Edge+Controller,,,
