ID,SKU,Product Name,Category,Regular Price SAR,Sale Price SAR,Supplier Rank,Supplier Name,Supplier Type,Supplier Search URL,Supplier Buy URL,Supplier Price,Currency,Price Source,Notes
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,1,AliExpress,Marketplace supplier search,https://www.aliexpress.com/wholesale?SearchText=NZXT+H9+Elite+Mid-Tower+ATX+Case,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,2,Alibaba,B2B supplier search,https://www.alibaba.com/trade/search?SearchText=NZXT+H9+Elite+Mid-Tower+ATX+Case,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,3,Amazon.sa,Local market reference / supplier option,https://www.amazon.sa/s?k=NZXT+H9+Elite+Mid-Tower+ATX+Case,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,4,Noon,Local market reference / supplier option,https://www.noon.com/saudi-en/search/?q=NZXT+H9+Elite+Mid-Tower+ATX+Case,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
54,GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,,5,B&H Photo,US retailer / distributor search,https://www.bhphotovideo.com/c/search?Ntt=NZXT+H9+Elite+Mid-Tower+ATX+Case&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,1,AliExpress,Marketplace supplier search,https://www.aliexpress.com/wholesale?SearchText=Corsair+iCUE+H150i+RGB+Elite+%28360mm+AIO%29,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,2,Alibaba,B2B supplier search,https://www.alibaba.com/trade/search?SearchText=Corsair+iCUE+H150i+RGB+Elite+%28360mm+AIO%29,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,3,Amazon.sa,Local market reference / supplier option,https://www.amazon.sa/s?k=Corsair+iCUE+H150i+RGB+Elite+%28360mm+AIO%29,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,4,Noon,Local market reference / supplier option,https://www.noon.com/saudi-en/search/?q=Corsair+iCUE+H150i+RGB+Elite+%28360mm+AIO%29,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
55,GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,,5,B&H Photo,US retailer / distributor search,https://www.bhphotovideo.com/c/search?Ntt=Corsair+iCUE+H150i+RGB+Elite+%28360mm+AIO%29&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
