SKU,Name,Category,Weight_kg,Source_Site,Source_Price_USD,Amazon_SA_Ref_SAR,Landed_Cost_SAR,Target_Sale_SAR,Notes
NT-MPC-DEL-001,Dell OptiPlex 7070 Micro (Refurb),Homelab | هوم لاب,1.5,B&H,,2581,,,No source price on B&H
NT-MPC-BLK-002,Beelink EQ12 (Intel N100),Homelab | هوم لاب,1,B&H,,1888,,,No source price on B&H
NT-MPC-BLK-001,Beelink SER7 (Ryzen 7 7735HS),Homelab | هوم لاب,1.2,B&H,,2476,,,No source price on B&H
NT-MPC-MNF-001,MinisForum MS-01 (Homelab Server),Homelab | هوم لاب,2.5,B&H,,2017,,,No source price on B&H
NT-POE-TPL-001,TP-Link TL-SG1005P 5-Port PoE,Networking | شبكات واتصالات,0.8,B&H,,159,,,No source price on B&H
NT-POE-UBQ-001,Ubiquiti USW-Lite-8-PoE,Networking | شبكات واتصالات,0.9,B&H,,640,,,No source price on B&H
NT-KVM-ATN-001,ATEN CS1924M 4-Port DP KVM,Homelab | هوم لاب,3.5,B&H,,129,,,No source price on B&H
NT-KVM-TES-001,TESmart HKS0401A1U 4-Port HDMI KVM,Homelab | هوم لاب,2.5,B&H,,65,,,No source price on B&H
NT-FWL-FTN-001,Fortinet FortiGate 60F,Homelab | هوم لاب,1.5,B&H,,3146,,,No source price on B&H
NT-FWL-NGT-002,Netgate 2100 MAX pfSense+ Gateway,Homelab | هوم لاب,1.2,B&H,,2191,,,No source price on B&H
NT-FWL-NGT-001,Netgate 4200 MAX pfSense+ Gateway,Homelab | هوم لاب,2.5,B&H,,1314,,,No source price on B&H
NT-CBL-GEN-001,Cat6a Shielded Bulk Cable (305m),Networking | شبكات واتصالات,12,B&H,,65,,,No source price on B&H
NT-CBL-FSC-001,10G SFP+ DAC Twinax Cable (1m),Networking | شبكات واتصالات,0.15,B&H,,65,,,No source price on B&H
NT-SFP-FSC-001,FS.com 10GBASE-SR SFP+ Transceiver,Networking | شبكات واتصالات,0.1,B&H,,65,,,No source price on B&H
NT-SRV-NVP-001,NavePoint 1U Cantilever Rack Shelf,Homelab | هوم لاب,3,B&H,,261,,,No source price on B&H
NT-SRV-CBM-001,Cable Matters 24-Port Cat6 Patch Panel (1U),Homelab | هوم لاب,1.5,B&H,,45,,,No source price on B&H
NT-SRV-STC-001,StarTech RK12WALLOA 12U Wall-Mount Rack,Homelab | هوم لاب,15,B&H,,1089,,,No source price on B&H
NT-UPS-APC-002,APC Back-UPS Pro BX1500M (Tower),Homelab | هوم لاب,12,B&H,,198,,,No source price on B&H
NT-UPS-CYB-001,CyberPower OR1500LCDRM1U (1500VA 1U),Homelab | هوم لاب,14,B&H,,4405,,,No source price on B&H
NT-UPS-APC-001,APC Smart-UPS SMT1500RM2UC (1500VA Rack),Homelab | هوم لاب,16,B&H,,969,,,No source price on B&H
NT-NAS-QNP-002,QNAP TS-262-4G (2-Bay),Homelab | هوم لاب,3.5,B&H,,2699,,,No source price on B&H
NT-NAS-QNP-001,QNAP TS-464-8G (4-Bay),Homelab | هوم لاب,5.5,B&H,,3378,,,No source price on B&H
