sku,name,category,price_sar,status,store_url,brand,brand_url,trend_keyword,trend_avg,trend_peak,trend_latest,trend_direction,last_checked
NG-3DP-008,Phrozen Sonic Mini 8K S - 22-Micron Pixel Resin 3D Printer,3D Printing&Cnc,2899,publish,https://neogen.store/product/phrozen-sonic-mini-8k-s-22-micron-pixel-resin-3d-printer/,Phrozen,,Phrozen Sonic Mini 8K,,,,,
NG-3DP-007,Creality Sonic Pad - Klipper Tablet to Supercharge Your 3D Printer,3D Printing&Cnc,1049,publish,https://neogen.store/product/creality-sonic-pad-klipper-tablet-to-supercharge-your-3d-printer/,Creality,https://creality.com,Creality Sonic Pad -,,,,,
NG-3DP-006,BIQU H2 V2S Direct Drive Extruder - Lightweight Upgrade for Your 3D Printer,3D Printing&Cnc,599,publish,https://neogen.store/product/biqu-h2-v2s-direct-drive-extruder-lightweight-upgrade-for-your-3d-printer/,BIQU,,BIQU H2 V2S Direct,,,,,
NG-3DP-005,Elegoo Saturn 3 Ultra - 12K Resin 3D Printer with 10-inch Screen,3D Printing&Cnc,3499,publish,https://neogen.store/product/elegoo-saturn-3-ultra-12k-resin-3d-printer-with-10-inch-screen/,Elegoo,,Elegoo Saturn 3 Ultra,,,,,
NG-3DP-004,eSUN PLA+ Filament 10-Color Pack - 10kg Total for 3D Printing,3D Printing&Cnc,1299,publish,https://neogen.store/product/esun-pla-filament-10-color-pack-10kg-total-for-3d-printing/,eSUN,,eSUN PLA+ Filament 10-Color,,,,,
NG-3DP-003,Creality K1 Max - Large Format 3D Printer at 600mm/s,3D Printing&Cnc,4199,publish,https://neogen.store/product/creality-k1-max-large-format-3d-printer-at-600mm-s/,Creality,https://creality.com,Creality K1 Max -,,,,,
NG-3DP-002,Bambu Lab AMS - Automatic Material System for Multi-Color 3D Printing,3D Printing&Cnc,1949,publish,https://neogen.store/product/bambu-lab-ams-automatic-material-system-for-multi-color-3d-printing/,Bambu,https://bambulab.com,Bambu Lab AMS -,,,,,
NG-3DP-001,Bambu Lab P1S 3D Printer - Blazing Speed and Pro Quality in an Enclosed Design,3D Printing&Cnc,5099,publish,https://neogen.store/product/bambu-lab-p1s-3d-printer-blazing-speed-and-pro-quality-in-an-enclosed-design/,Bambu,https://bambulab.com,Bambu Lab P1S 3D,,,,,
NG-ACC-009,Ugreen Nexode 100W GaN Charger - 4-Port Gallium Nitride Fast Charger,Accessories&Lifestyle,439,publish,https://neogen.store/product/ugreen-nexode-100w-gan-charger-4-port-gallium-nitride-fast-charger/,Ugreen,,Ugreen Nexode 100W GaN,,,,,
NG-ACC-008,CalDigit TS4 Thunderbolt 4 Dock - 18-Port Professional Docking Station,Accessories&Lifestyle,2899,publish,https://neogen.store/product/caldigit-ts4-thunderbolt-4-dock-18-port-professional-docking-station/,CalDigit,,CalDigit TS4 Thunderbolt 4,,,,,
NG-ACC-007,Anker PowerConf S330 USB Speakerphone - Smart Noise-Canceling Conference Speaker,Accessories&Lifestyle,599,publish,https://neogen.store/product/anker-powerconf-s330-usb-speakerphone-smart-noise-canceling-conference-speaker/,Anker,,Anker PowerConf S330 USB,,,,,
NG-ACC-005,Flipper Zero - The Ultimate Multi-Tool for Geeks and Cyber-Research,Accessories&Lifestyle,1799,publish,https://neogen.store/product/flipper-zero-the-ultimate-multi-tool-for-geeks-and-cyber-research/,Flipper,,Flipper Zero - The,,,,,
NG-ACC-003,Mark Ryden Anti-theft Laptop Backpack - Maximum Protection for Your Tech,Accessories&Lifestyle,409,publish,https://neogen.store/product/mark-ryden-anti-theft-laptop-backpack-maximum-protection-for-your-tech/,Mark,,Mark Ryden Anti-theft Laptop,,,,,
NG-ACC-002,Anker 735 GaN 65W Charger - Compact 3-Port Fast Charger,Accessories&Lifestyle,379,publish,https://neogen.store/product/anker-735-gan-65w-charger-compact-3-port-fast-charger/,Anker,,Anker 735 GaN 65W,,,,,
NG-ACC-001,Baseus Blade 100W Power Bank - Ultra-Slim Laptop Portable Charger,Accessories&Lifestyle,499,publish,https://neogen.store/product/baseus-blade-100w-power-bank-ultra-slim-laptop-portable-charger/,Baseus,,Baseus Blade 100W Power,,,,,
NG-CBL-008,HDMI 2.1 8K Fiber Optic Cable (10m) - Zero Signal Loss,Cables&Adapters,359,publish,https://neogen.store/product/hdmi-2-1-8k-fiber-optic-cable-10m-zero-signal-loss/,HDMI,,HDMI 2.1 8K Fiber,,,,,
NG-CBL-007,DAC SFP+ 10G Direct Attach Cable (3m) - Direct Switch-to-Switch Connection,Cables&Adapters,229,publish,https://neogen.store/product/dac-sfp-10g-direct-attach-cable-3m-direct-switch-to-switch-connection/,DAC,,DAC SFP+ 10G Direct,,,,,
NG-CBL-006,Ugreen 5-in-1 USB-C Dock - HDMI 4K + Ethernet + USB 3.0,Cables&Adapters,249,publish,https://neogen.store/product/ugreen-5-in-1-usb-c-dock-hdmi-4k-ethernet-usb-3-0/,Ugreen,,Ugreen 5-in-1 USB-C Dock,,,,,
NG-CBL-005,Baseus USB-C 100W Charging Cable (2m) - Fast Charge for Laptops and Phones,Cables&Adapters,109,publish,https://neogen.store/product/baseus-usb-c-100w-charging-cable-2m-fast-charge-for-laptops-and-phones/,Baseus,,Baseus USB-C 100W Charging,,,,,
NG-CBL-004,Ugreen Cat 8 Ethernet Cable (5m) - 40Gbps Network Cable,Cables&Adapters,149,publish,https://neogen.store/product/ugreen-cat-8-ethernet-cable-5m-40gbps-network-cable/,Ugreen,,Ugreen Cat 8 Ethernet,,,,,
NG-CBL-003,Cable Matters Thunderbolt 4 Cable (2m) - 40Gbps with 100W Charging,Cables&Adapters,419,publish,https://neogen.store/product/cable-matters-thunderbolt-4-cable-2m-40gbps-with-100w-charging/,Cable,,Cable Matters Thunderbolt 4,,,,,
NG-CBL-002,Anker USB-C Hub 7-in-1 - Multi-Port Adapter for Laptops,Cables&Adapters,349,publish,https://neogen.store/product/anker-usb-c-hub-7-in-1-multi-port-adapter-for-laptops/,Anker,,Anker USB-C Hub 7-in-1,,,,,
NG-CBL-001,Ugreen USB-C to HDMI 2.1 Cable (2m) - 8K@60Hz Output,Cables&Adapters,219,publish,https://neogen.store/product/ugreen-usb-c-to-hdmi-2-1-cable-2m-8k60hz-output/,Ugreen,,Ugreen USB-C to HDMI,,,,,
NG-DRN-008,DJI Pocket 3 - Pocket-Sized Gimbal Camera with 1-Inch Sensor,Drones&Robotics,2999,publish,https://neogen.store/product/dji-pocket-3-pocket-sized-gimbal-camera-with-1-inch-sensor/,DJI,https://dji.com,DJI Pocket 3 -,,,,,
NG-DRN-007,"Roborock S8 MaxV Ultra - Smart Robot Vacuum with 10,000Pa Suction",Drones&Robotics,7699,publish,https://neogen.store/product/roborock-s8-maxv-ultra-smart-robot-vacuum-with-10000pa-suction/,Roborock,,Roborock S8 MaxV Ultra,,,,,
NG-DRN-006,FIMI X8 Mini V2 - 4K Drone at 245g with Competitive Pricing,Drones&Robotics,2399,publish,https://neogen.store/product/fimi-x8-mini-v2-4k-drone-at-245g-with-competitive-pricing/,FIMI,,FIMI X8 Mini V2,,,,,
NG-DRN-005,Insta360 X4 - 8K 360-Degree Camera,Drones&Robotics,3499,publish,https://neogen.store/product/insta360-x4-8k-360-degree-camera/,Insta360,,Insta360 X4 - 8K,,,,,
NG-DRN-004,DJI RS 4 - 3-Axis Gimbal Stabilizer for Professional Cameras,Drones&Robotics,3099,publish,https://neogen.store/product/dji-rs-4-3-axis-gimbal-stabilizer-for-professional-cameras/,DJI,https://dji.com,DJI RS 4 -,,,,,
NG-DRN-003,DJI Osmo Action 5 Pro - 4K/120fps Waterproof Action Camera,Drones&Robotics,2499,publish,https://neogen.store/product/dji-osmo-action-5-pro-4k-120fps-waterproof-action-camera/,DJI,https://dji.com,DJI Osmo Action 5,,,,,
NG-DRN-002,DJI Avata 2 - Immersive FPV Drone with Goggles,Drones&Robotics,4099,publish,https://neogen.store/product/dji-avata-2-immersive-fpv-drone-with-goggles/,DJI,https://dji.com,DJI Avata 2 -,,,,,
NG-DRN-001,DJI Mini 4 Pro - Sub-249g Drone with 4K/60fps Camera,Drones&Robotics,6099,publish,https://neogen.store/product/dji-mini-4-pro-sub-249g-drone-with-4k-60fps-camera/,DJI,https://dji.com,DJI Mini 4 Pro,,,,,
NG-MKR-010,Elegoo Mars 4 Ultra Resin 3D Printer - 9K Resolution for Stunning Detail,Enthusiasts&Gamers,2399,publish,https://neogen.store/product/elegoo-mars-4-ultra-resin-3d-printer-9k-resolution-for-stunning-detail/,Elegoo,,Elegoo Mars 4 Ultra,,,,,
NG-MKR-008,Creality Ender-3 V3 SE - The Best Entry-Level 3D Printer,Enthusiasts&Gamers,1199,publish,https://neogen.store/product/creality-ender-3-v3-se-the-best-entry-level-3d-printer/,Creality,https://creality.com,Creality Ender-3 V3 SE,,,,,
NG-MKR-007,Prusa Mini+ 3D Printer - Professional Precision in a Compact Package,Enthusiasts&Gamers,3299,publish,https://neogen.store/product/prusa-mini-3d-printer-professional-precision-in-a-compact-package/,Prusa,,Prusa Mini+ 3D Printer,,,,,
NG-MKR-005,Elgato Stream Deck MK.2 - Professional Productivity Console with 15 LCD Keys,Enthusiasts&Gamers,1249,publish,https://neogen.store/product/elgato-stream-deck-mk-2-professional-productivity-console-with-15-lcd-keys/,Elgato,,Elgato Stream Deck MK.2,,,,,
NG-MKR-004,Meta Quest 3 128GB - The Most Powerful Mixed Reality Headset,Enthusiasts&Gamers,3299,publish,https://neogen.store/product/meta-quest-3-128gb-the-most-powerful-mixed-reality-headset/,Meta,,Meta Quest 3 -,,,,,
NG-MKR-003,Keychron Q1 - Premium Full Aluminum Custom Mechanical Keyboard,Enthusiasts&Gamers,1449,publish,https://neogen.store/product/keychron-q1-premium-full-aluminum-custom-mechanical-keyboard/,Keychron,,Keychron Q1 - Premium,,,,,
GM-RTR-ASU-001,ASUS ROG Rapture GT-BE19000AI (WiFi 7),Gaming,4799,publish,https://neogen.store/product/asus-rog-rapture-gt-be19000ai-wifi-7/,ASUS,https://asus.com,ASUS ROG Rapture GT-BE19000AI,,,,,
GM-PGA-JSA-001,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),Gaming,459,publish,https://neogen.store/product/jsaux-6-in-1-dock-steam-deck-rog-ally/,JSAUX,,JSAUX 6-in-1 Dock,,,,,
GM-STR-HPX-001,HyperX QuadCast S USB Microphone,Gaming,949,publish,https://neogen.store/product/hyperx-quadcast-s-usb-microphone/,HyperX,,HyperX QuadCast S USB,,,,,
