ID,Name,SKU,Regular_price_SAR,Sale_price_SAR,Effective_price_SAR,Face_value_USD,Face_value_SAR,Markup_over_face_value_pct,Severity,Issues_found,Suggested_action
42,Adobe Creative Cloud 1 Year,GC-SW-ACC1,2499.0,1999.0,1999.0,,,,,,
43,Kaspersky Total Security 1 Year,GC-SW-KTS1,149.0,119.0,119.0,,,,,,
44,Apple Gift Card $100,GC-APL-100,389.0,,389.0,100.0,375.0,3.7,MEDIUM,Very thin margin (3.7% over face value),Consider raising to ~6-7% markup like other items
45,Google Play $50 Gift Card,GC-GP-50,199.0,,199.0,50.0,187.5,6.1,,,
46,Netflix Gift Card $100,GC-NFX-100,389.0,,389.0,100.0,375.0,3.7,MEDIUM,Very thin margin (3.7% over face value),Consider raising to ~6-7% markup like other items
47,Xbox Game Pass Ultimate 3 Months,GC-XBX-GPU3,179.0,149.0,149.0,,,,,,
48,Steam Wallet $50 Gift Card,GC-STM-50,199.0,,199.0,50.0,187.5,6.1,,,
49,PlayStation Store $50 Gift Card,GC-PSN-50,199.0,,199.0,50.0,187.5,6.1,,,
50,Microsoft Office 2024 Pro Plus,GC-SW-OFF24,399.0,349.0,349.0,,,,,,
51,Windows 11 Pro License Key,GC-SW-WIN11,249.0,199.0,199.0,,,,,,
52,ASUS ROG Rapture GT-BE19000AI (WiFi 7),GM-RTR-ASU-001,4799.0,,4799.0,,,,,,
53,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),GM-PGA-JSA-001,529.0,459.0,459.0,,,,,,
54,NZXT H9 Elite Mid-Tower ATX Case,GM-CMP-NZX-001,1349.0,,1349.0,,,,,,
55,Corsair iCUE H150i RGB Elite (360mm AIO),GM-CMP-COR-001,1149.0,,1149.0,,,,,,
56,Gigabyte AORUS RTX 5090 Master 32GB,GM-GPU-GIG-001,27999.0,,27999.0,,,,,,
57,NVIDIA RTX 5080 Founders Edition (16GB),GM-GPU-NVD-002,6499.0,,6499.0,,,,,,
58,NVIDIA RTX 5090 Founders Edition (32GB),GM-GPU-NVD-001,26449.0,22999.0,22999.0,,,,,,
59,HyperX QuadCast S USB Microphone,GM-STR-HPX-001,580.0,3573.57,3573.57,,,,CRITICAL,Sale price (3573.57) > regular price (580.00),Remove or correct the sale price immediately
60,Elgato Stream Deck MK.2,GM-STR-ELG-001,1099.0,213.07,213.07,,,,,,
61,AVerMedia Live Gamer Ultra S,GM-CAP-AVR-001,1049.0,556.27,556.27,,,,,,
62,Elgato HD60 X Capture Card,GM-CAP-ELG-001,1099.0,284.57,284.57,,,,,,
63,Sony DualSense Edge Controller,GM-CTR-SON-001,1559.0,556.27,556.27,,,,,,
64,Xbox Elite Controller Series 2 Core,GM-CTR-MSF-001,720.0,255.97,255.97,,,,,,
65,Govee DreamView G1 Pro Gaming Light,GM-RGB-GOV-001,790.0,284.57,284.57,,,,,,
66,Corsair iCUE LC100 Lighting Panels,GM-RGB-COR-001,549.0,284.57,284.57,,,,,,
67,Razer Iskur V2 NewGen,GM-CHR-RAZ-001,3199.0,570.57,570.57,,,,,,
68,Secretlab Titan Evo,GM-CHR-SEC-001,4630.0,356.07,356.07,,,,,,
69,Razer BlackShark V2 Pro 2023,GM-HST-RAZ-001,1149.0,6862.57,6862.57,,,,CRITICAL,Sale price (6862.57) > regular price (1149.00),Remove or correct the sale price immediately
70,SteelSeries Arctis Nova 7 Wireless,GM-HST-STS-001,860.0,756.47,756.47,,,,,,
71,HyperX Cloud Alpha Wireless (300hr),GM-HST-HPX-001,1199.0,1929.07,1929.07,,,,CRITICAL,Sale price (1929.07) > regular price (1199.00),Remove or correct the sale price immediately
72,Razer Viper V3 Pro (54g Wireless),GM-MOU-RAZ-002,1209.0,1643.07,1643.07,,,,CRITICAL,Sale price (1643.07) > regular price (1209.00),Remove or correct the sale price immediately
73,Logitech G Pro X Superlight 2 DEX,GM-MOU-LOG-001,1099.0,40038.57,40038.57,,,,CRITICAL,Sale price (40038.57) > regular price (1099.00),Remove or correct the sale price immediately
74,Razer DeathAdder V4 Pro (57g Wireless),GM-MOU-RAZ-001,1329.0,9293.57,9293.57,,,,CRITICAL,Sale price (9293.57) > regular price (1329.00),Remove or correct the sale price immediately
75,Keychron K10 HE (Arabic Layout),GM-KBD-KEY-001,690.0,37822.07,37822.07,,,,CRITICAL,Sale price (37822.07) > regular price (690.00),Remove or correct the sale price immediately
76,Logitech G Pro X TKL LIGHTSPEED,GM-KBD-LOG-001,1379.0,829.4,829.4,,,,,,
77,Corsair K70 MAX RGB,GM-KBD-COR-001,1299.0,,1299.0,,,,,,
78,Razer Huntsman V3 Pro TKL,GM-KBD-RAZ-001,1559.0,,1559.0,,,,,,
79,"Dell Alienware AW2725DF (27"" QD-OLED 360Hz)",GM-MON-DEL-001,5599.0,,5599.0,,,,,,
80,"LG UltraGear OLED 27GR95QE-B (27"" QHD 240Hz)",GM-MON-LGE-001,5639.0,,5639.0,,,,,,
81,"Samsung Odyssey G7 G70D (32"" 4K 144Hz)",GM-MON-SAM-002,2600.0,,2600.0,,,,,,
82,"Samsung Odyssey OLED G8 (34"" UWQHD 175Hz)",GM-MON-SAM-001,4870.0,,4870.0,,,,,,
83,"ASUS ROG Swift OLED PG27AQDM (27"" QHD 240Hz)",GM-MON-ASU-001,4080.0,,4080.0,,,,,,
84,Dell OptiPlex 7070 Micro (Refurb),NT-MPC-DEL-001,1610.0,,1610.0,,,,,,
85,Beelink EQ12 (Intel N100),NT-MPC-BLK-002,999.0,,999.0,,,,,,
86,Beelink SER7 (Ryzen 7 7735HS),NT-MPC-BLK-001,2399.0,,2399.0,,,,,,
