ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Blocksy Custom Data,Blocksy Variation Images,Meta: _ng_original_post_title,Meta: _ng_ar_title,Meta: _ng_ar_description_pre_n8n,Meta: _ng_ar_description,Meta: _ng_ar_description_source,Meta: _ng_ar_description_at,Meta: _ng_ar_title_source,Meta: _ng_amazon_sa_ref_price,Meta: _ng_amazon_sa_ref_url,Meta: _ng_amazon_sa_ref_at,Meta: _ng_amazon_sa_ref_confidence,Meta: _ng_pre_reprice_regular_price,Meta: _ng_pre_reprice_sale_price,Meta: _ng_pre_reprice_at,Meta: _last_change_time,Meta: _ng_ar_title_pre_n8n,Meta: _ng_ar_title_at,Meta: _ng_gift_card_region,Meta: _ng_gift_card_brand,Meta: _ng_gift_card_denom,Meta: _ng_gift_card_seed_version,Meta: _ng_pricing_status,Meta: _ng_seed_origin,Dimension Confidence,Dimension Notes,Amazon SA Reference Price (SAR),Amazon Reference Date,Price vs Amazon (SAR),Price vs Amazon (%),Pricing Status
42,simple,GC-SW-ACC1,,Adobe Creative Cloud 1 Year,1,0,visible,Adobe CC All Apps 1 year subscription — instant delivery,"اشتراك Adobe Creative Cloud لمدة سنة — Photoshop, Illustrator, Premiere Pro, After Effects وأكثر. تسليم فوري.",,,taxable,,1,,,0,0,,,,,1,,1999,2499,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/adobe.png,,,,,,,,,0,,,,Adobe Creative Cloud 1 Year | أدوبي كرييتف كلاود,أدوبي كرييتف كلاود,,"<p>اشتراك Adobe Creative Cloud لمدة سنة يوفر لك الوصول إلى مجموعة شاملة من أقوى أدوات التحرير والتصميم.</p>

    <section>
        <h2><strong>لماذا هذا المنتج؟</strong></h2>
        <ul>
            <li>يضم تطبيقاتًا مثل Photoshop, Illustrator, Premiere Pro و After Effects.</li>
            <li>يوفر دعمًا مستمرًا للتحديثات والأدوات الجديدة.</li>
            <li>يتيح لك العمل على المشاريع من أي مكان عبر الإنترنت.</li>
            <li>يشمل مجموعة متنوعة من الأدوات التي تساعدك في إبداع أعمال فنية رائعة.</li>
        </ul>
    </section>

    <table border=""1"">
        <caption><strong>المواصفات التقنية:</strong></caption>
        <tr>
            <th>التطبيق</th>
            <th>المدة</th>
        </tr>
        <tr>
            <td>Adobe Photoshop</td>
            <td>1 عام</td>
        </tr>
        <tr>
            <td>Adobe Illustrator</td>
            <td>1 عام</td>
        </tr>
        <tr>
            <td>Adobe Premiere Pro</td>
            <td>1 عام</td>
        </tr>
        <tr>
            <td>Adobe After Effects</td>
            <td>1 عام</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:54:27+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
43,simple,GC-SW-KTS1,,Kaspersky Total Security 1 Year,1,0,visible,Kaspersky Total Security 1 device / 1 year — instant key,مفتاح Kaspersky Total Security لجهاز واحد لمدة سنة — حماية شاملة من الفيروسات والتهديدات. تسليم فوري.,,,taxable,,1,,,0,0,,,,,1,,119,149,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/kaspersky.png,,,,,,,,,0,,,,Kaspersky Total Security 1 Year | كاسبرسكي,كاسبرسكي,,"<p>كاسبرسكاي توتال سيركيتيون لعام واحد لحماية جهازك من الفيروسات والتهديدات بشكل شامل.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul>
        <li>حماية متقدمة ضد الفيروسات والبرامج الخبيثة.</li>
        <li>تحديثات فورية لمنع التهديدات الجديدة.</li>
        <li>حماية الشبكة والخصوصية عبر الإنترنت.</li>
        <li>دعم فني متميز على مدار الساعة.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"">
        <thead>
            <tr>
                <th>الخاصية</th>
                <th>التفاصيل</th>
            </tr>
        </thead>
        <tbody>
            <tr>
                <td>اسم البرنامج</td>
                <td>Kaspersky Total Security</td>
            </tr>
            <tr>
                <td>مدة الحماية</td>
                <td>1 عام</td>
            </tr>
            <tr>
                <td>نوع الحماية</td>
                <td>حماية شاملة من الفيروسات والتهديدات</td>
            </tr>
        </tbody>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:54:12+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
44,simple,GC-APL-100,,Apple Gift Card $100,1,0,visible,Apple $100 gift card — instant delivery,"بطاقة Apple Gift Card بقيمة $100 — App Store, iTunes, Apple Music, iCloud+. تسليم فوري.",,,taxable,,1,,,0,0,,,,,1,,0,389,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/apple.png,,,,,,,,,0,,,,Apple Gift Card $100 | بطاقة آبل,بطاقة آبل,,"<p>بطاقة هدية Apple بقيمة 100 دولار أميركي لشراء منتجات متعددة.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: rtl;"">
        <li>توفير قيمة 100 دولار أميركي لشراء منتجات Apple المتنوعة.</li>
        <li>تسهيل الشراء عبر متاجر App Store, iTunes, Apple Music, و iCloud+.</li>
        <li>القدرة على استخدام البطاقة فورًا بعد الشراء.</li>
        <li>هدية مثالية لمحبي منتجات Apple أو الأصدقاء والعائلات.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"" style=""direction: rtl;"">
        <tr>
            <th>النوع</th>
            <td>بطاقة هدية إلكترونية</td>
        </tr>
        <tr>
            <th>قيمة البطاقة</th>
            <td>$100</td>
        </tr>
        <tr>
            <th>المتاجر المتاحة</th>
            <td>App Store, iTunes, Apple Music, iCloud+</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:53:58+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
45,simple,GC-GP-50,,Google Play $50 Gift Card,1,0,visible,Google Play $50 gift card — US region,بطاقة Google Play بقيمة $50 — تطبيقات، ألعاب، أفلام، كتب. صالحة للحسابات الأمريكية.,,,taxable,,1,,,0,0,,,,,1,,0,199,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/google-play.png,,,,,,,,,0,,,,Google Play $50 Gift Card | بطاقة قوقل بلاي,بطاقة قوقل بلاي,,"<p>تمنحك بطاقة Google Play بقيمة 50 دولار إمكانية الشراء من متجر التطبيقات والألعاب والأفلام والمزيد.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul>
        <li>مثالي لشراء التطبيقات والألعاب الجديدة.</li>
        <li>يتيح لك مشاهدة الأفلام والمسلسلات المفضلة لديك.</li>
        <li>يمكن استخدامه في الحسابات الأمريكية مباشرة.</li>
        <li>سهل الاستخدام وآمن.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"">
        <tr>
            <th>الوصف</th>
            <th>التفاصيل</th>
        </tr>
        <tr>
            <td>قيمة البطاقة</td>
            <td>$50</td>
        </tr>
        <tr>
            <td>مجال الاستخدام</td>
            <td>متجر التطبيقات والألعاب والأفلام</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:53:44+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
46,simple,GC-NFX-100,,Netflix Gift Card $100,1,0,visible,Netflix $100 gift card — instant delivery,بطاقة هدية Netflix بقيمة $100 — صالحة لجميع الحسابات. تسليم الكود فوري عبر الإيميل.,,,taxable,,1,,,0,0,,,,,1,,0,389,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/netflix.png,,,,,,,,,0,,,,Netflix Gift Card $100 | بطاقة نتفلكس,بطاقة نتفلكس,,"<p>تمنح بطاقة هدية Netflix بقيمة 100 دولار إمكانية الوصول إلى خدمات الترفيه عبر الإنترنت من Netflix.</p>

    <strong>لماذا هذا المنتج؟</strong>
    <ul>
        <li>صالح لجميع الحسابات على Netflix.</li>
        <li>تسليم الكود فوري عبر البريد الإلكتروني.</li>
        <li>هدية مثالية للعائلة والأصدقاء.</li>
        <li>لا تنتهي صلاحيتها.</li>
    </ul>

    <strong>المواصفات التقنية:</strong>
    <table border=""1"">
        <tr>
            <th>الوصف</th>
            <th>التفاصيل</th>
        </tr>
        <tr>
            <td>قيمة البطاقة</td>
            <td>$100</td>
        </tr>
        <tr>
            <td>الشركة الصانعة</td>
            <td>Netflix</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:53:31+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
47,simple,GC-XBX-GPU3,,Xbox Game Pass Ultimate 3 Months,1,0,visible,3 months Xbox Game Pass Ultimate — instant code,اشتراك Xbox Game Pass Ultimate لمدة 3 أشهر — مكتبة ألعاب ضخمة + EA Play + Xbox Live Gold. تسليم فوري.,,,taxable,,1,,,0,0,,,,,1,,149,179,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/xbox-gp.png,,,,,,,,,0,,,,Xbox Game Pass Ultimate 3 Months | قيم باس,قيم باس,,"<p>اشتراك Xbox Game Pass Ultimate لمدة 3 أشهر، يوفر لك مكتبة ضخمة من الألعاب بالإضافة إلى خدمة EA Play و Xbox Live Gold.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: rtl;"">
        <li>مكتبة ألعاب ضخمة تضم أكثر من 100 لعبة جديدة كل شهر.</li>
        <li>خدمة EA Play التي توفر لك الوصول الفوري إلى الألعاب المميزة من Electronic Arts.</li>
        <li>Xbox Live Gold الذي يمنحك القدرة على اللعب عبر الإنترنت ومشاركة التحديات مع الأصدقاء.</li>
        <li>دعم الجودة العالية والألعاب الجديدة بشكل مبكر.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"" dir=""ltr"">
        <tr>
            <th>النوع</th>
            <td>اشتراك Xbox Game Pass Ultimate</td>
        </tr>
        <tr>
            <th>مدة الاشتراك</th>
            <td>3 أشهر</td>
        </tr>
        <tr>
            <th>المكتبة المتاحة</th>
            <td>أكثر من 100 لعبة جديدة كل شهر</td>
        </tr>
        <tr>
            <th>خدمة EA Play</th>
            <td>نعم</td>
        </tr>
        <tr>
            <th>Xbox Live Gold</th>
            <td>نعم</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:53:19+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
48,simple,GC-STM-50,,Steam Wallet $50 Gift Card,1,0,visible,Steam $50 gift card — instant delivery,بطاقة Steam Wallet بقيمة $50 — اشترِ ألعاب، DLCs، وعناصر من Steam Store. تسليم فوري.,,,taxable,,1,,,0,0,,,,,1,,0,199,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/steam50.png,,,,,,,,,0,,,,Steam Wallet $50 Gift Card | بطاقة ستيم,بطاقة ستيم,,"<p>بطاقة هدية Steam Wallet بقيمة 50 دولارًا، تتيح لك شراء الألعاب والتحديثات وعناصر متجر Steam.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: ltr;"">
        <li>تسهيل الشراء من متجر Steam بسهولة.</li>
        <li> gode of flexibility in purchasing games, DLCs, and other items.</li>
        <li>ضمان التسليم الفوري دون أي تأخيرات.</li>
        <li>موثوقية وامانة في التعامل مع بياناتك المالية.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"" style=""direction: ltr;"">
        <thead>
            <tr>
                <th>الخاصية</th>
                <th>التفاصيل</th>
            </tr>
        </thead>
        <tbody>
            <tr>
                <td>قيمة البطاقة</td>
                <td>$50</td>
            </tr>
            <tr>
                <td>نوع البطاقة</td>
                <td>Steam Wallet Gift Card</td>
            </tr>
            <tr>
                <td>الشركة الصانعة</td>
                <td>Valve Corporation</td>
            </tr>
        </tbody>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:53:03+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
49,simple,GC-PSN-50,,PlayStation Store $50 Gift Card,1,0,visible,"PSN $50 gift card — US region, instant delivery",بطاقة PlayStation Store بقيمة $50 USD — صالحة لحسابات المنطقة الأمريكية. تسليم الكود فوري.,,,taxable,,1,,,0,0,,,,,1,,0,199,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/psn50.png,,,,,,,,,0,,,,PlayStation Store $50 Gift Card | بطاقة بلايستيشن,بطاقة بلايستيشن,,"<p>استمتع بتجربة الألعاب الإلكترونية المذهلة عبر PlayStation Store ببطاقة هدية قيمتها 50 دولار.</p>

    <h2><strong>لماذا هذا المنتج؟</strong></h2>
    <ul style=""direction: rtl;"">
        <li>يسمح باستخدامه في حسابات المنطقة الأمريكية فقط.</li>
        <li>تسليم الكود فوريًا بمجرد الشراء.</li>
        <li>مناسب لجميع الألعاب المتاحة على PlayStation Store.</li>
        <li>هدية مثالية لأصدقاءك وعائلتك.</li>
    </ul>

    <h2><strong>المواصفات التقنية:</strong></h2>
    <table border=""1"" style=""direction: rtl;"">
        <tr>
            <th>النوع</th>
            <td>بطاقة هدية PlayStation Store</td>
        </tr>
        <tr>
            <th>قيمة البطاقة</th>
            <td>$50 USD</td>
        </tr>
        <tr>
            <th>المنطقة المسموح بها</th>
            <td>America</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:52:48+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
50,simple,GC-SW-OFF24,,Microsoft Office 2024 Pro Plus,1,0,visible,Office 2024 Pro Plus license key — instant delivery,"مفتاح Microsoft Office 2024 Professional Plus — Word, Excel, PowerPoint, Outlook. تفعيل لجهاز واحد. تسليم فوري.",,,taxable,,1,,,0,0,,,,,1,,349,399,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/office2024.png,,,,,,,,,0,,,,Microsoft Office 2024 Pro Plus | أوفيس 2024 برو,أوفيس 2024 برو,,"<p>مفتاح تفعيل Microsoft Office 2024 Pro Plus، يشمل Word, Excel, PowerPoint, و Outlook.</p>

    <strong>لماذا هذا المنتج؟</strong>
    <ul>
        <li>يحتوي على أحدث إصدارات برامج Microsoft الرئيسية.</li>
        <li>متوافق مع جهاز واحد فقط لضمان الأمان.</li>
        <li>توفير فوري يسمح باستخدام البرامج فور الشراء.</li>
        <li>جودة عالية ودعم مستمر من Microsoft.</li>
    </ul>

    <strong>المواصفات التقنية:</strong>
    <table border=""1"">
        <tr>
            <th>البرنامج</th>
            <th>الميزات الرئيسية</th>
        </tr>
        <tr>
            <td>Word</td>
            <td>تحرير وتنسيق النصوص، تحرير PDF.</td>
        </tr>
        <tr>
            <td>Excel</td>
            <td>تحليل البيانات، صياغة التقارير.</td>
        </tr>
        <tr>
            <td>Presentation (PowerPoint)</td>
            <td>إنشاء العروض التقديمية، إدارة الصور والفيديو.</td>
        </tr>
        <tr>
            <td>Email & Calendar (Outlook)</td>
            <td>إدارة البريد الإلكتروني والجدول الزمني.</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:52:36+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
51,simple,GC-SW-WIN11,,Windows 11 Pro License Key,1,0,visible,Official Windows 11 Pro digital license key — instant email delivery,مفتاح تفعيل أصلي لنظام Windows 11 Professional — تسليم فوري عبر الإيميل. يدعم 64-bit. ترقية مجانية من Windows 10.,,,taxable,,1,,,0,0,,,,,1,,199,249,Gift Cards & Software Keys | بطاقات رقمية ومفاتيح,,digital-no-shipping,https://neogen.store/wp-content/uploads/windows11.png,,,,,,,,,0,,,,Windows 11 Pro License Key | مفتاح ويندوز 11 برو,مفتاح ويندوز 11 برو,,"<p>مفتاح تفعيل أصلي لنظام التشغيل Windows 11 Professional، متوفر فورًا عبر البريد الإلكتروني.</p>
    <section>
        <h3><strong>لماذا هذا المنتج؟</strong></h3>
        <ul>
            <li>دعم النظام 64-bit للاستخدام المتقدم.</li>
            <li>تحديث مجاني من Windows 10 إلى Windows 11.</li>
            <li>ضمان أصالة المفتاح وسلامته.</li>
            <li>تسهيل التثبيت السريع والفعال.</li>
        </ul>
    </section>
    <table border=""1"">
        <caption><strong>المواصفات التقنية:</strong></caption>
        <tr>
            <th>نوع النظام</th>
            <td>Windows 11 Pro</td>
        </tr>
        <tr>
            <th>التحديث من</th>
            <td>Windows 10</td>
        </tr>
    </table>",ollama-qwen2.5:7b-bulk-full,2026-04-30T16:52:21+03:00,,,,,,,,,,,,,,,,,,n/a,Gift card / software key — delivered electronically (SKU-inferred — metadata tag missing),,,,,
